obj1,imgl1,imgr1,obj2,imgl2,imgr2,obj3,imgl3,imgr3,obj4,imgl4,imgr4,obj5,imgl5,imgr5,obj6,imgl6,imgr6
cake,https://291i.s3.amazonaws.com/omega/000448_cake.png,https://291i.s3.amazonaws.com/gamma/000448_cake.png,cat,https://291i.s3.amazonaws.com/gamma/001015_cat.png,https://291i.s3.amazonaws.com/gdr/001015_cat.png,cat,https://291i.s3.amazonaws.com/gdr/000448_cat.png,https://291i.s3.amazonaws.com/gamma/000448_cat.png,cat,https://291i.s3.amazonaws.com/gdr/001372_cat.png,https://291i.s3.amazonaws.com/gamma/001372_cat.png,apple,https://291i.s3.amazonaws.com/gdr/000168_apple.png,https://291i.s3.amazonaws.com/gamma/000168_apple.png,shoes,https://291i.s3.amazonaws.com/gamma/001211_shoes.png,https://291i.s3.amazonaws.com/gdr/001211_shoes.png
plate,https://291i.s3.amazonaws.com/gamma/000749_plate.png,https://291i.s3.amazonaws.com/gdr/000749_plate.png,cat,https://291i.s3.amazonaws.com/gamma/000217_cat.png,https://291i.s3.amazonaws.com/gdr/000217_cat.png,lamp,https://291i.s3.amazonaws.com/gdr/000945_lamp.png,https://291i.s3.amazonaws.com/gamma/000945_lamp.png,bag,https://291i.s3.amazonaws.com/gdr/001183_bag.png,https://291i.s3.amazonaws.com/gamma/001183_bag.png,pencil,https://291i.s3.amazonaws.com/gamma/001344_pencil.png,https://291i.s3.amazonaws.com/gdr/001344_pencil.png,cushion,https://291i.s3.amazonaws.com/omega/000056_cushion.png,https://291i.s3.amazonaws.com/gamma/000056_cushion.png
painting,https://291i.s3.amazonaws.com/gamma/000168_painting.png,https://291i.s3.amazonaws.com/gdr/000168_painting.png,vase,https://291i.s3.amazonaws.com/gdr/000238_vase.png,https://291i.s3.amazonaws.com/gamma/000238_vase.png,stool,https://291i.s3.amazonaws.com/gamma/000847_stool.png,https://291i.s3.amazonaws.com/gdr/000847_stool.png,cushion,https://291i.s3.amazonaws.com/omega/000315_cushion.png,https://291i.s3.amazonaws.com/gamma/000315_cushion.png,book,https://291i.s3.amazonaws.com/gdr/000399_book.png,https://291i.s3.amazonaws.com/gamma/000399_book.png,computer,https://291i.s3.amazonaws.com/gdr/000014_computer.png,https://291i.s3.amazonaws.com/gamma/000014_computer.png
stool,https://291i.s3.amazonaws.com/gamma/001204_stool.png,https://291i.s3.amazonaws.com/gdr/001204_stool.png,cat,https://291i.s3.amazonaws.com/gamma/000854_cat.png,https://291i.s3.amazonaws.com/gdr/000854_cat.png,plate,https://291i.s3.amazonaws.com/gdr/000273_plate.png,https://291i.s3.amazonaws.com/gamma/000273_plate.png,book,https://291i.s3.amazonaws.com/gamma/000091_book.png,https://291i.s3.amazonaws.com/gdr/000091_book.png,lamp,https://291i.s3.amazonaws.com/gamma/000217_lamp.png,https://291i.s3.amazonaws.com/omega/000217_lamp.png,painting,https://291i.s3.amazonaws.com/gamma/001071_painting.png,https://291i.s3.amazonaws.com/gdr/001071_painting.png
shoes,https://291i.s3.amazonaws.com/gamma/000896_shoes.png,https://291i.s3.amazonaws.com/gdr/000896_shoes.png,plate,https://291i.s3.amazonaws.com/gdr/001435_plate.png,https://291i.s3.amazonaws.com/gamma/001435_plate.png,lamp,https://291i.s3.amazonaws.com/gdr/000749_lamp.png,https://291i.s3.amazonaws.com/gamma/000749_lamp.png,lamp,https://291i.s3.amazonaws.com/gdr/000847_lamp.png,https://291i.s3.amazonaws.com/gamma/000847_lamp.png,book,https://291i.s3.amazonaws.com/gamma/000007_book.png,https://291i.s3.amazonaws.com/omega/000007_book.png,book,https://291i.s3.amazonaws.com/gamma/001365_book.png,https://291i.s3.amazonaws.com/gdr/001365_book.png
book,https://291i.s3.amazonaws.com/gamma/000168_book.png,https://291i.s3.amazonaws.com/omega/000168_book.png,stool,https://291i.s3.amazonaws.com/gamma/001330_stool.png,https://291i.s3.amazonaws.com/gdr/001330_stool.png,lamp,https://291i.s3.amazonaws.com/gamma/000280_lamp.png,https://291i.s3.amazonaws.com/gdr/000280_lamp.png,cushion,https://291i.s3.amazonaws.com/gamma/001183_cushion.png,https://291i.s3.amazonaws.com/gdr/001183_cushion.png,cat,https://291i.s3.amazonaws.com/gdr/001295_cat.png,https://291i.s3.amazonaws.com/gamma/001295_cat.png,cup,https://291i.s3.amazonaws.com/gamma/001351_cup.png,https://291i.s3.amazonaws.com/gdr/001351_cup.png
shoes,https://291i.s3.amazonaws.com/gdr/001071_shoes.png,https://291i.s3.amazonaws.com/gamma/001071_shoes.png,lamp,https://291i.s3.amazonaws.com/omega/000273_lamp.png,https://291i.s3.amazonaws.com/gamma/000273_lamp.png,painting,https://291i.s3.amazonaws.com/gamma/000336_painting.png,https://291i.s3.amazonaws.com/gdr/000336_painting.png,pencil,https://291i.s3.amazonaws.com/gamma/000868_pencil.png,https://291i.s3.amazonaws.com/gdr/000868_pencil.png,apple,https://291i.s3.amazonaws.com/gamma/000812_apple.png,https://291i.s3.amazonaws.com/gdr/000812_apple.png,shoes,https://291i.s3.amazonaws.com/gamma/001001_shoes.png,https://291i.s3.amazonaws.com/gdr/001001_shoes.png
shoes,https://291i.s3.amazonaws.com/gamma/000007_shoes.png,https://291i.s3.amazonaws.com/omega/000007_shoes.png,cushion,https://291i.s3.amazonaws.com/gdr/000420_cushion.png,https://291i.s3.amazonaws.com/gamma/000420_cushion.png,plate,https://291i.s3.amazonaws.com/gamma/000007_plate.png,https://291i.s3.amazonaws.com/gdr/000007_plate.png,cat,https://291i.s3.amazonaws.com/gamma/001204_cat.png,https://291i.s3.amazonaws.com/gdr/001204_cat.png,bag,https://291i.s3.amazonaws.com/gamma/001367_bag.png,https://291i.s3.amazonaws.com/gdr/001367_bag.png,shoes,https://291i.s3.amazonaws.com/gamma/001407_shoes.png,https://291i.s3.amazonaws.com/gdr/001407_shoes.png
cushion,https://291i.s3.amazonaws.com/gamma/000924_cushion.png,https://291i.s3.amazonaws.com/gdr/000924_cushion.png,apple,https://291i.s3.amazonaws.com/gamma/001022_apple.png,https://291i.s3.amazonaws.com/gdr/001022_apple.png,shoes,https://291i.s3.amazonaws.com/gamma/000280_shoes.png,https://291i.s3.amazonaws.com/omega/000280_shoes.png,cushion,https://291i.s3.amazonaws.com/gamma/000007_cushion.png,https://291i.s3.amazonaws.com/gdr/000007_cushion.png,shoes,https://291i.s3.amazonaws.com/gdr/001330_shoes.png,https://291i.s3.amazonaws.com/gamma/001330_shoes.png,stool,https://291i.s3.amazonaws.com/gamma/000427_stool.png,https://291i.s3.amazonaws.com/gdr/000427_stool.png
bag,https://291i.s3.amazonaws.com/omega/000553_bag.png,https://291i.s3.amazonaws.com/gamma/000553_bag.png,cake,https://291i.s3.amazonaws.com/gdr/001351_cake.png,https://291i.s3.amazonaws.com/gamma/001351_cake.png,shoes,https://291i.s3.amazonaws.com/gamma/000602_shoes.png,https://291i.s3.amazonaws.com/gdr/000602_shoes.png,vase,https://291i.s3.amazonaws.com/gamma/000350_vase.png,https://291i.s3.amazonaws.com/gdr/000350_vase.png,cushion,https://291i.s3.amazonaws.com/gdr/000245_cushion.png,https://291i.s3.amazonaws.com/gamma/000245_cushion.png,bag,https://291i.s3.amazonaws.com/gamma/000182_bag.png,https://291i.s3.amazonaws.com/gdr/000182_bag.png
